ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T00:00:00Z,2025-08-01,00:00,1,142.44,0.03,20.43,22.21,1.83,3.98,5.25,2.85
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T01:00:00Z,2025-08-01,01:00,1,141.01,0.02,18.19,23.1,1.75,4.39,5.84,2.84
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T02:00:00Z,2025-08-01,02:00,1,138.56,0.02,15.75,24.63,1.71,4.61,6.11,2.88
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T03:00:00Z,2025-08-01,03:00,1,136.57,0.02,14.03,25.71,1.66,4.72,6.1,2.87
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T04:00:00Z,2025-08-01,04:00,1,135.78,0.04,12.99,26.58,1.66,4.75,5.93,2.84
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T05:00:00Z,2025-08-01,05:00,1,138.37,0.22,13.59,25.52,1.76,4.88,5.91,2.94
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T06:00:00Z,2025-08-01,06:00,1,143.37,1.7,14.08,25.16,1.91,4.87,5.83,3.06
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T07:00:00Z,2025-08-01,07:00,1,146.39,3.15,13.44,27.42,2.0,4.36,5.26,2.87
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T08:00:00Z,2025-08-01,08:00,1,146.14,3.35,12.71,30.76,2.07,2.97,3.85,2.76
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T09:00:00Z,2025-08-01,09:00,1,142.93,2.56,11.6,35.49,2.17,2.26,3.11,2.81
Amsterdam,AMS,NL,52.3676,4.9041,2025-08-01T10:00:00Z,2025-08-01,10:00,1,127.2,0.68,5.64,52.99,1.41,1.22,1.77,1.39
