ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T00:00:00Z,2025-08-01,00:00,5,519.63,13.05,11.51,6.59,7.83,100.97,113.16,15.4
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T01:00:00Z,2025-08-01,01:00,5,555.65,7.77,19.41,46.04,28.85,134.25,145.91,3.52
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T02:00:00Z,2025-08-01,02:00,5,577.54,6.66,18.43,70.81,32.55,141.11,153.23,3.51
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T03:00:00Z,2025-08-01,03:00,5,596.09,4.03,15.99,108.05,35.28,155.95,168.28,3.94
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T04:00:00Z,2025-08-01,04:00,5,442.81,0.64,7.25,164.71,25.3,135.31,143.21,0.03
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T05:00:00Z,2025-08-01,05:00,5,355.9,0.32,4.2,171.65,17.53,112.18,118.14,0.0
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T06:00:00Z,2025-08-01,06:00,5,333.78,0.3,3.88,176.06,15.78,107.79,113.39,0.0
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T07:00:00Z,2025-08-01,07:00,5,325.01,0.27,4.05,181.47,15.24,106.99,112.46,0.01
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T08:00:00Z,2025-08-01,08:00,5,317.21,0.23,4.18,183.36,14.49,104.5,109.74,0.07
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T09:00:00Z,2025-08-01,09:00,5,307.71,0.17,4.45,183.05,13.52,99.86,104.79,0.21
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T10:00:00Z,2025-08-01,10:00,5,324.86,0.21,8.84,148.45,12.63,100.0,105.8,4.0
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T11:00:00Z,2025-08-01,11:00,5,363.72,0.09,14.41,106.66,12.72,103.43,111.18,9.01
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T12:00:00Z,2025-08-01,12:00,5,401.12,0.0,17.16,83.01,13.45,105.52,115.12,11.98
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T13:00:00Z,2025-08-01,13:00,5,423.73,0.0,18.51,69.73,14.27,104.07,114.66,12.5
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T14:00:00Z,2025-08-01,14:00,5,432.76,0.0,19.03,60.34,14.55,100.17,111.02,12.4
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T15:00:00Z,2025-08-01,15:00,5,416.18,0.0,18.59,52.91,13.92,92.53,102.74,11.94
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T16:00:00Z,2025-08-01,16:00,5,364.35,0.0,16.49,49.78,13.86,79.86,88.42,10.92
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T17:00:00Z,2025-08-01,17:00,4,325.54,0.0,14.95,38.22,10.23,70.74,78.75,10.77
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T18:00:00Z,2025-08-01,18:00,4,297.42,0.0,13.45,29.23,7.62,64.32,72.3,10.46
Beijing,BJS,CN,39.9042,116.4074,2025-08-01T19:00:00Z,2025-08-01,19:00,4,279.12,0.01,12.46,22.45,6.09,60.48,68.71,10.83
