ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Londres,LON,GB,51.5074,-0.1278,2025-08-01T00:00:00Z,2025-08-01,00:00,1,137.53,0,10,58.08,4.36,1.72,2.57,1.1
Londres,LON,GB,51.5074,-0.1278,2025-08-01T01:00:00Z,2025-08-01,01:00,2,158.34,0,8.43,63.8,4.02,1.71,2.77,1.44
Londres,LON,GB,51.5074,-0.1278,2025-08-01T02:00:00Z,2025-08-01,02:00,2,165.12,0,7.37,63.63,3.74,1.61,2.79,1.57
Londres,LON,GB,51.5074,-0.1278,2025-08-01T03:00:00Z,2025-08-01,03:00,2,162.2,0,6.75,60.91,3.54,1.54,2.78,1.58
Londres,LON,GB,51.5074,-0.1278,2025-08-01T04:00:00Z,2025-08-01,04:00,1,154.8,0,6.3,57.57,3.38,1.47,2.76,1.57
Londres,LON,GB,51.5074,-0.1278,2025-08-01T05:00:00Z,2025-08-01,05:00,1,149.33,0,6.08,54.94,3.34,1.42,2.76,1.61
Londres,LON,GB,51.5074,-0.1278,2025-08-01T06:00:00Z,2025-08-01,06:00,1,144.4,0.18,5.94,52.96,3.35,1.38,2.74,1.69
Londres,LON,GB,51.5074,-0.1278,2025-08-01T07:00:00Z,2025-08-01,07:00,1,139.79,0.79,5.29,51.38,3.36,1.33,2.68,1.76
Londres,LON,GB,51.5074,-0.1278,2025-08-01T08:00:00Z,2025-08-01,08:00,1,136.35,1.45,4.83,50.3,3.45,1.34,2.65,1.87
Londres,LON,GB,51.5074,-0.1278,2025-08-01T09:00:00Z,2025-08-01,09:00,1,133.74,1.88,4.6,50.17,3.56,1.4,2.67,1.97
Londres,LON,GB,51.5074,-0.1278,2025-08-01T10:00:00Z,2025-08-01,10:00,1,133.65,1.8,4.2,53.34,3.37,1.45,2.61,1.89
Londres,LON,GB,51.5074,-0.1278,2025-08-01T11:00:00Z,2025-08-01,11:00,1,134.98,1.42,3.67,58.79,2.99,1.46,2.45,1.67
Londres,LON,GB,51.5074,-0.1278,2025-08-01T12:00:00Z,2025-08-01,12:00,2,134.65,1.11,3.25,63.32,2.74,1.51,2.35,1.51
Londres,LON,GB,51.5074,-0.1278,2025-08-01T13:00:00Z,2025-08-01,13:00,2,134.63,0.81,2.92,67.49,2.49,1.52,2.24,1.43
Londres,LON,GB,51.5074,-0.1278,2025-08-01T14:00:00Z,2025-08-01,14:00,2,134.03,0.63,2.56,71.27,2.27,1.46,2.07,1.35
Londres,LON,GB,51.5074,-0.1278,2025-08-01T15:00:00Z,2025-08-01,15:00,2,133.79,0.5,2.4,74.58,2.13,1.38,1.9,1.29
Londres,LON,GB,51.5074,-0.1278,2025-08-01T16:00:00Z,2025-08-01,16:00,2,133.7,0.42,2.54,76.35,2.1,1.31,1.77,1.27
Londres,LON,GB,51.5074,-0.1278,2025-08-01T17:00:00Z,2025-08-01,17:00,2,132.68,0.41,2.95,75.74,2.14,1.26,1.67,1.26
Londres,LON,GB,51.5074,-0.1278,2025-08-01T18:00:00Z,2025-08-01,18:00,2,132.75,0.34,3.61,73.89,2.18,1.23,1.59,1.23
Londres,LON,GB,51.5074,-0.1278,2025-08-01T19:00:00Z,2025-08-01,19:00,2,134.94,0.15,4.46,72.08,2.17,1.25,1.57,1.18
Londres,LON,GB,51.5074,-0.1278,2025-08-01T20:00:00Z,2025-08-01,20:00,2,138.36,0.01,5.17,70.61,2.13,1.32,1.62,1.12
