ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,PAR,FR,48.8566,2.3522,2025-08-01T00:00:00Z,2025-08-01,00:00,1,102.25,0.0,1.96,42.32,0.08,1.28,1.83,1.73
Paris,PAR,FR,48.8566,2.3522,2025-08-01T01:00:00Z,2025-08-01,01:00,1,97.29,0.0,1.81,38.33,0.08,1.26,1.8,1.46
Paris,PAR,FR,48.8566,2.3522,2025-08-01T02:00:00Z,2025-08-01,02:00,1,93.97,0.0,1.71,35.78,0.08,1.24,1.77,1.4
Paris,PAR,FR,48.8566,2.3522,2025-08-01T03:00:00Z,2025-08-01,03:00,1,91.9,0.0,1.66,34.58,0.08,1.22,1.75,1.38
Paris,PAR,FR,48.8566,2.3522,2025-08-01T04:00:00Z,2025-08-01,04:00,1,90.22,0.0,1.67,34.13,0.08,1.17,1.67,1.34
Paris,PAR,FR,48.8566,2.3522,2025-08-01T05:00:00Z,2025-08-01,05:00,1,89.47,0.0,1.98,33.0,0.08,1.12,1.56,1.25
Paris,PAR,FR,48.8566,2.3522,2025-08-01T06:00:00Z,2025-08-01,06:00,1,89.71,0.04,2.55,31.75,0.08,1.07,1.44,1.17
Paris,PAR,FR,48.8566,2.3522,2025-08-01T07:00:00Z,2025-08-01,07:00,1,90.37,0.18,2.55,32.62,0.08,1.03,1.36,1.1
Paris,PAR,FR,48.8566,2.3522,2025-08-01T08:00:00Z,2025-08-01,08:00,1,90.99,0.4,2.26,33.91,0.08,1.03,1.39,1.14
Paris,PAR,FR,48.8566,2.3522,2025-08-01T09:00:00Z,2025-08-01,09:00,1,91.96,0.54,1.93,36.61,0.09,1.08,1.48,1.29
Paris,PAR,FR,48.8566,2.3522,2025-08-01T10:00:00Z,2025-08-01,10:00,1,94.78,0.28,1.12,50.88,0.08,0.85,1.18,0.96
Paris,PAR,FR,48.8566,2.3522,2025-08-01T11:00:00Z,2025-08-01,11:00,1,96.47,0.17,0.87,57.56,0.09,0.74,1.0,0.9
Paris,PAR,FR,48.8566,2.3522,2025-08-01T12:00:00Z,2025-08-01,12:00,2,98.6,0.13,0.88,60.27,0.11,0.77,1.01,0.97
Paris,PAR,FR,48.8566,2.3522,2025-08-01T13:00:00Z,2025-08-01,13:00,2,104.01,0.12,0.88,64.19,0.13,0.83,1.05,1.0
Paris,PAR,FR,48.8566,2.3522,2025-08-01T14:00:00Z,2025-08-01,14:00,2,110.52,0.12,0.8,68.16,0.16,0.91,1.12,1.01
Paris,PAR,FR,48.8566,2.3522,2025-08-01T15:00:00Z,2025-08-01,15:00,2,117.65,0.12,0.8,72.21,0.21,1.02,1.24,1.07
Paris,PAR,FR,48.8566,2.3522,2025-08-01T16:00:00Z,2025-08-01,16:00,2,125.85,0.13,0.89,76.58,0.27,1.18,1.47,1.25
Paris,PAR,FR,48.8566,2.3522,2025-08-01T17:00:00Z,2025-08-01,17:00,2,133.01,0.12,1.02,80.64,0.37,1.43,1.87,1.58
Paris,PAR,FR,48.8566,2.3522,2025-08-01T18:00:00Z,2025-08-01,18:00,2,136.98,0.09,1.12,83.65,0.47,1.64,2.26,1.9
Paris,PAR,FR,48.8566,2.3522,2025-08-01T19:00:00Z,2025-08-01,19:00,2,138.18,0.02,1.17,85.49,0.57,1.82,2.66,2.21
Paris,PAR,FR,48.8566,2.3522,2025-08-01T20:00:00Z,2025-08-01,20:00,2,137.21,0.0,1.11,87.02,0.67,2.0,3.09,2.49
Paris,PAR,FR,48.8566,2.3522,2025-08-01T21:00:00Z,2025-08-01,21:00,2,135.05,0.0,1.06,87.24,0.78,2.13,3.45,2.69
Paris,PAR,FR,48.8566,2.3522,2025-08-01T22:00:00Z,2025-08-01,22:00,2,131.71,0.0,1.14,83.24,0.79,2.17,3.59,2.97
Paris,PAR,FR,48.8566,2.3522,2025-08-01T23:00:00Z,2025-08-01,23:00,2,131.25,0.0,1.22,78.22,0.73,2.21,3.68,3.49
Paris,PAR,FR,48.8566,2.3522,2025-08-02T00:00:00Z,2025-08-02,00:00,2,131.43,0.0,1.22,73.38,0.65,2.23,3.72,3.65
Paris,PAR,FR,48.8566,2.3522,2025-08-02T01:00:00Z,2025-08-02,01:00,2,129.29,0.0,1.2,67.77,0.57,2.17,3.63,3.37
